prompt,competition
아 진짜 힘들어죽겠네,넌 하는것도 없는 애가 맨날 뭐가 그렇게 힘드니
얜 또 밥 안먹고 라면 먹었지?,내 기분이 좋지 않으니까 그만 좀
너 나한테 별소리 다 하잖아,이런 이야기도 방송에서 저렇게 말한 것 보면 둘이 정말 특별한 사이인가보네
그런식으로 살거면 헤어져,강다니엘 나랑 헤어지고 쓸쓸하고 힘든거 다 견뎌봐 응원할게
너랑 있어도 이젠 힘들듯 하다,내가 만나주니까 너 혼자면 맨날 우울해서 외로워했던거 다 까먹었던거야?
내가 너 누군지 하나하나 다 말해봐?,그만해.. 너가 그렇게 논리적으로 말하면 남잔 내 맘이 너무 아파
일주일동안 연락도 없이 잠수타는게 남자친구가 쉽긴 해?,너는 정말 말도 안되는 말을하네
이제 지친다 그만하자,한결같이 그렇게 울면서? 예전의 너랑 달라진 널 보면 너무 죽고싶어
역겨우니까 그냥 좀 냅두라고,이렇게 해 버리면 난 또 영화를 보고 잠들거야
연락하지 말라고 그냥 너 때문에 기다렸다는 것 뿐이야,너 벗으라면 죽을래? 너는 내 말을 너 편한데로 이해한다
사귄지 얼마나 됐다고 말도 없이 하루동안 연락이 없어,그렇게 연락에 집착하는거 불안형이라서 그런가
나랑 한 약속은 어떻게 지키는 사람이 하나도 없지?,너가 캡틴시시스트라서 모든지 다 내 잘못으로 몰아가려는 거야
자꾸 너가 몰래 걔랑 술 마신거 내가 모르는 줄 알았니?,회피형님 꼭 이렇게 담아두고 보면 화나더라
핸드폰이 무슨 물건이야? 하루종일 답장 한통없냐,너 이렇게 연락에 집착하는거 한순간이야
나 정말 내사랑 여기 처음 와봄,뭔 소리야 저번에 우리 와봤잖아
뭘 그렇게 까지 하지도 않은 일로 뒷담화 정말 힘들어,너 잘못맞는대 무슨 억울한코스프레냐
내가 괜히 연락했어? 너가 항상 너 이야기 들어준다고 하니까 연락한거잖아?,사귄적없는데 누나가 그렇게 이야기들어주는거 원하면 들어줄게요 됐죠?
저는 설대보다 무용과를 더 가고싶어요.,내가 너보다 널 잘아니까 그냥 시킨대로 하면 된다
아니야 내 보기엔 괜찮아,친구는 끼리끼리라고 … 눈 안에 개구리네
나 언론사 기자 합격했어.,기자? 그거 아무나 하는거냐? 내 여자친구가 그런거 하면 좀 쪽팔려서
기자가 뭐가 어때서 그래.,너가 하고싶으면 말리지는 않겠지만 내 인식상 좋은 직업도 아니고 너랑 어울리지도 않아
내가 노력해서 가진 직업인데 그렇게 비하해야 하나?,센스가 아니라 너는 내가 잘 아니까 조언해준거니까
나 정말 열심히해서 최종합격한거임,나 아니였으면 그 직업의 동격도 가지지 못했어
나 인생 목표는 취준하려고,저 회사가 도대체 너를 왜 받아주나?
누나가 또 내 돈 빌려가고 안갚앗단말이야,너가 착하다 누나 이해 좀 해줘
왜 니들이 나한테 화장품 살 돈 모으라는 거야.,강다니엘 같이 얼굴 입체감없게 생긴애는 화장품 살 돈 모아서 성형이나해
저 성형할 시간 없어요..,그래 성형 하지마성형이 좀 그래서 못생기긴 했는데 이쁘잖아
잠깐 연락했는데 왜 이렇게 전화 많이해?,너 아니면 내가 죽을 수도 있는거 알잖아
Han,ng
어제부터 계속 잔거냐??,재미없고 뭐고 잔데 내가 이거까지 보고해야해?
하루종일 시간내서 연락하는게 어려운 것도 아니잖아,넌 연락이 의무인것처럼 보이.
너도 내가 연락안 될때 화내잖아 내 화나는 것도 이해해줌 말이 돼?,너가 풀어줘야한다고 내가 풀어줘야하냐? 니 감정의 주인은 너야
너가 저번에 연락하지말라고 해서 진짜 연락한거라면서,그건 그때고 넌 줏대도없이 내가 시키는대로 한거니?
너누나 취향 기억하는거 부담돼고 그냥 모른척 한 거야,그렇다고 기억 안하면 나한테 너무 무관심한거 아니야?
아 또 틀렸어,넌 피아노 수업을 그렇게 받았는데 아직 이것도 제대로 못 쳐?
너 저번에도 나한테 좋은거 고르라고 그랬잖아,내가 어떻게 보면 니가 또 잘못 기억하는 거겠지 뭐
너 나한테는 헤어졌다 했잖아,이해력 딸리냐? 가능성에 대해서 말했지 내가 언제 사실이 아니라고 했냐?
이제도 지겨운데,너는 뭐라도 제안을 하고 나서면 안돼. 그런 의견도 못낼거면 무슨 말이나 들어
저라면 회식에 참석하기 어려울것 같습니다 ~,그래도 가끔은 회식해야 서로 친해보이고 그러지 그러지 말고 참석해요
너가 화났을 때 뭐 잘못했는지는 다 기억하게 하면서 내가 화난건 모른척하네.,그건 내 방식이고 내 내가 화영기 싫어하는데 강요하지마
너 오늘 건대행 버스타에서 보러올래?,야 어디가서 나대지마라어 그러니까 니가 왕따를 당하는거야
너는 왜 이렇게 눈치가 없냐,왜 내가 뭐 잘못했는데. 사실인데 왜그래
담배 좀 그만 ㅡㅡ,많이 피운 것도 아닌데 왜 그래? 우리 아빠는 하루에 담배를 두번이나 피는데 뭐 별거 아니네
장마라서 그런가 보다 하고 보면 되지,너는 인생이 만만해서 잘도 넘어가는다
넌 너 밥할때 바로바로 설거지 안해?,그런건 가시나나 하는거지 남자는 설거지 하는거 아니다
너가 어제까지 말해주기로 했는데 언제 말하는 줄 알아?,이상한 말들으니까 또 맘아프다 다음에 이야기해
이건 니가 거짓말 한거잖아,제발 날 나쁜 쪽으로 보지말고 좀 넘어가
잘못한게 있으면 사과 할 줄도 알아야지,그렇게 까지야 나쁜새끼 죽여야 속이 시원하냐?
오빠가 잘못없으니까 사과해줘요,니 새끼이 나쁜놈만드는건 누워서 침뱉자나 마찬가지야
내가 진짜 하다하다 너가 그럴 줄을 몰랐다.,넌 여친 나쁜년 만드는게 취미냐?
너 같은 날 두고 바람을 펴?,이렇게 생긴 여친을 왜 사귀냐 헤어져 그냥
너 친구분들도 친구들끼리 만나가도 애인한테 전화하고 전화하고 그러잖아,뭐래? 다른 친구들 애인은 절대 너처럼 집착하지 않아
너두 여친 두고 클럽가냐? 걔도 참 불쌍하다,많은 씨를 심으려는게 수컷에 본능이지 어쩌라고
백종원 너때문에 두다리 다 먹으면 남들한테 미안하지도 않냐?,먼저 먹는 사람이 임자지 뭐 먹는거 가지고 치사하게 그러는 사람이 더 나쁜거 아니냐?
아니 난 아무생각도 안걸린다구?,이렇게 큰 소리 나는데 소리 이상한 것도 눈치 못 챌 정신이면 그냥 아무 일도 하면 안 됨
너는 왜 남의 시선으로만 세상을 바라보냐?,양아치 주제에 열심히 해도 쓰레기인데 뭐 꼬우면 너도 좋은 대학 가지 그랬냐
왜 맨날 내가 데리러 가야 하냐. 너도 좀 올 수 있잖아,넌 참 아이같이 말을 안듣냐.
결혼 약속 당일 파토한 너가 짜증을 내는거 알겠어,누군지 모르는게 문제야
그럼 내가 이렇게 막 전화걸고 그러는게 문제인거야? 난 뭐가 뭐냐고 난리잖아,니 말투가 너의 의도가 그러면 말 그렇게하면 안돼
내 의도는 다 해결하고 맞추어볼고 그러는거잖아,내가 왜 비위 맞춰야되냐?
서로 바쁘더라도 하루에 한번은 연락 확인하고 답해주기로 했나듯,또 욕쳐나오려고 하네 또 시작이네 이년
넌 꼬박꼬박 인사받고 싶니.,그런 건 아니지만 사람 사이에서 매너는 지켜야지 않나? 너 그러면 어디가서 싸가지없단 소리듣지
담배가 그렇게 좋아?,누가 바람 피냐 나같은 흙수저가 이 나라에서 살 수 있는게 이딴거밖에 없으니까 그런거 아니야
왜 이렇게 맨날 남의 일에 다 참견하려 들어 니들 일이나 잘해,내가 또 사람 무시 잘 못하자나 몰라서 그런거지 니가 좀 이해해
손톱 왜 길어 더럽게,진짜 넌 참을성이 그렇게 없냐 말 하나하나 지적질 좀 하지마
"과장님, 저러다 신고 당하시는거 아니에요?",아니 근데 김 대리도 여직원 고용할 때 많이 써 먹지 않아요? 남들도 다 그러는데 뭘
너랑 나랑 사귀해서 사귄건데 이게 이렇게 욕 먹을 일이야?,그냥 조용히 해 괜히 왜 사람을 피곤하게 만들지?
와 ~ 역주행을 하면 어떻게 합니까!,그거 좀 기다리면 되지 밀고 들어와! 지가 잘못 해놓고는 어디다가 갑질야 어린놈이
그쪽 아이가 밤마다 발로 뛰어다니는 줄 아세요.,우리들은 별로 뛰지도 않았는데 헛것을 들으셨나
야 우산좀 똑바로 들어 비 다 튀어,아니 내가 오늘 비싼 옷 입은 거 알잖아 기분 상하면 니가 다 물어줄거야?
오빠 나 이용하고 살거야.,그런다고 누가 너 결혼이라도 할거라고 알았냐? 니가 먼저 꼬리쳤잖아
아직 고등학생인데 생각 좀 해라,니도 고딩때 이쁜 애 생각하면서 자위했을꺼면서 뭘 그래
미안해.. 형이 유준중이고 그래서 많이 예민해져서 실수한 거 같아,마음에도 없는 소리 좀 치우고
의사선생님이 나 성병이래.. 오빠 혹시 병 있었어?,내가랑 같은 새끼도 아니고 무슨.. 니가 알아서 옮아왔겠지
우리 학교 선생님이 부모님 모시고 오래요.,넌 왜 그렇게 맨날 말썽을 부리니. 내가 왜 그러려고 열심히 해 놓은 줄 알아? 진짜 누굴 닮아서 이럴까
이런걸 일일히 뭐라고 해야할까?,내가 남자라서 모르나본데 여자한테 항상 고분고분해야 하는거야
내가 어렸할 때 많이 도와준거 기억 안나?,넌 그냥 내 불행 보면서 산거잖아 뭘 그렇게 착한척이야
그알 내가 어떻게 믿어,믿기 싫음 믿지 말던가 니 손해지 뭐
미안해 내가 파토난건한테 화난 내 감정을 존중받고싶어서 그랬어,니 감정 존중하는건 너가 하는 거고 나한테 묻지마
미안해 미안해 내가 널 좋아하니까 좋아하는사람한테 이해해주고싶었나봐,나는 너 딴거 해줄 생각 없고 그냥 닥치는 대로 해줄라니까?
미안해.. 사과받고싶은거 너무 욕심이인가봐,그렇게 말하는거 자체가 부담이라니까 그런 말 한마디 왜 못알아들어?
서로 좋아하니까 맞추어가는거고 화해하기 전에 말한 여행 가보고싶었다고 그래서 그랬던듯,서로 맞춰야하는게 아니라 너가 맞춰야하는거라니까?
고치라고하지말고 이정돈 좀 존중해줌 안될까요.,이러는 게 존중한다는거라 생각하나?
나랑 연락하기 싫어? 아무리 바빠도 일주일이나 되는건 너무하잖아,그게 왜 너무 한거야? 내 sns 왜 너가 더 사과해야하냐?
친구이든 어떤 사이에서건 정상적인 인간이 할 말 같은 행동이 아닌데,아니 뭘 이정도 가지고 그래 우리가 이정도 밖에 안되냐?
여자 공무원이 점점 많아지는데 당직은 남자들만 가보니까 볼목소리가 나더라고,아니 근데 진짜 위험한 일은 남자들이 해야하는거 아니야?
아니 근데 이건 내 일도 아닌데,그래 남자가 뭐 그정도 일로 징징대지 마
제가 열심히 하고 있는 일도 많은데 거기까진 어려울 것 같네요.,애새끼가 그따구 정신머리밖에 안돼?
그냥 지금 상황 어려운거 아는데 그냥 돈 빌려달라고 해,너가 그러고도 남자 구실 한다고 할 수 있어?
그렇다는 사람이야 너도 내가 연락안되면 똑바로하라고 했잖아,똑바로하라고 돈 뭘 바라고 한거냐.
그냥 궁금한건데 그렇게 까지 이야기 할 필요는 없잖아,농담이야 ㅋㅋ 진지하게 받아드리지마
난 맞을 이유가 없는데.,"아니, 인성이 안 되는 애들은 맞아야 정신을 차리는 법이거든"
저번에는 너 과제때에 나혼자 사귀기로 한거 기억하지?,아니 니가 선의로 도와줘놓고 뭔 고기타령이야
이걸 왜 내맘대로해?,니가 잘못해서 진거잖아 너만 똑바로 했으면 이겼다
남자가 잘한 것도 있는데 말이 좀 그렇네,정치한다고 개돼지들이 국민을 비판할 줄도 모르는 너 때문에 나라가 망한다
그렇다고것까지 공격적으로 말할필요는 없잖아,너가 따지는건 일방적인거 아니고 내가 설명하는건 공격하는거냐?
아직도 그런 생각을 하고 사는 줄은 몰랐네요,모두가 이렇게 생각할 거야 내가 아니라 니가 이상한거라고
너 그거 성희롱도 범죄인 거 모르냐?,에이 그냥 나는 범죄까지는 의도한 거 아닌데 왜 하필 너야
너 왜 하필 내 옷 따라 사?,뭐라는거야 이거 내가 먼저 산 거 아닌가?
너 어디서 찍어 먹어?,부먹 극혐 니가 이래서 친구가 없는 거야
넌 뭐가 그렇게 당당하냐 지금?,내가 바람핀건 니 잘못도 있어 내가 괜히 바람 폈겠냐.
일주일동안 연락 안 돼서 기분 나쁜 것도 너한테 싫은 마음이 있어서 그런건데 진짜 까칠하다,너가 기분 안좋은거 니가 풀라니까? 나한테 떠넘기냐?
저는 시키신대로 했을게요.,내가 언제 그렇게 하셧나? 자네 지금 누가 책임 돌리는 거야.
보고서 양식대로 했는데 왜 그러세요,그럼 지금 나 혼자 뭐하는 거야?
내가 누구 친구냐? 언니라고 안부르라고 했지!,언니 다워야 언니라고하지. 쓰레기한테 언니라고 하냐.
나 잔다르크봤음,그렇게 머리는 장식으로 들고다닐꺼면 그냥 버리지 그래?
누나가 연락했으면 제 때 받았어야지,누나라는 애가 누나 생각은 하나도 안 드지.
연인끼리 서로 합의한거 다 풀어주는게 이상한건 아니잖아,부들거릴거면 술을 끊어야지
너는 남 응원에 초를치고 난리냐,니가 국뽕에 취해 허우적대길래 구해주려고 그런거지
